 	\u0020	alt-032	SPACE
ê	\u00EA	alt-0234	LATIN SMALL LETTER E WITH CIRCUMFLEX
ë	\u00EB	alt-0235	LATIN SMALL LETTER E WITH DIAERESIS
ì	\u00EC	alt-0236	LATIN SMALL LETTER I WITH GRAVE
í	\u00ED	alt-0237	LATIN SMALL LETTER I WITH ACUTE
î	\u00EE	alt-0238	LATIN SMALL LETTER I WITH CIRCUMFLEX
ï	\u00EF	alt-0239	LATIN SMALL LETTER I WITH DIAERESIS
ð	\u00F0	alt-0240	LATIN SMALL LETTER ETH
ñ	\u00F1	alt-0241	LATIN SMALL LETTER N WITH TILDE
ò	\u00F2	alt-0242	LATIN SMALL LETTER O WITH GRAVE
ó	\u00F3	alt-0243	LATIN SMALL LETTER O WITH ACUTE
ô	\u00F4	alt-0244	LATIN SMALL LETTER O WITH CIRCUMFLEX
õ	\u00F5	alt-0245	LATIN SMALL LETTER O WITH TILDE
ö	\u00F6	alt-0246	LATIN SMALL LETTER O WITH DIAERESIS
Mathematical operator

÷	\u00F7	alt-0247	DIVISION SIGN
Letters

ø	\u00F8	alt-0248	LATIN SMALL LETTER O WITH STROKE = o slash
ù	\u00F9	alt-0249	LATIN SMALL LETTER U WITH GRAVE
ú	\u00FA	alt-0250	LATIN SMALL LETTER U WITH ACUTE
û	\u00FB	alt-0251	LATIN SMALL LETTER U WITH CIRCUMFLEX
ü	\u00FC	alt-0252	LATIN SMALL LETTER U WITH DIAERESIS
ý	\u00FD	alt-0253	LATIN SMALL LETTER Y WITH ACUTE
þ	\u00FE	alt-0254	LATIN SMALL LETTER THORN
ÿ	\u00FF	alt-0255	LATIN SMALL LETTER Y WITH DIAERESIS
European Latin * Catalan legacy compatibility character for ISO/IEC 6937

Ł	\u0141	alt-0321	LATIN CAPITAL LETTER L WITH STROKE
ł	\u0142	alt-0322	LATIN SMALL LETTER L WITH STROKE
Ń	\u0143	alt-0323	LATIN CAPITAL LETTER N WITH ACUTE
ń	\u0144	alt-0324	LATIN SMALL LETTER N WITH ACUTE
Ņ	\u0145	alt-0325	LATIN CAPITAL LETTER N WITH CEDILLA
ņ	\u0146	alt-0326	LATIN SMALL LETTER N WITH CEDILLA
Ň	\u0147	alt-0327	LATIN CAPITAL LETTER N WITH CARON
ň	\u0148	alt-0328	LATIN SMALL LETTER N WITH CARON
European Latin

Ŋ	\u014A	alt-0330	LATIN CAPITAL LETTER ENG
ŋ	\u014B	alt-0331	LATIN SMALL LETTER ENG = engma, angma
Ō	\u014C	alt-0332	LATIN CAPITAL LETTER O WITH MACRON
ō	\u014D	alt-0333	LATIN SMALL LETTER O WITH MACRON
Ŏ	\u014E	alt-0334	LATIN CAPITAL LETTER O WITH BREVE
ŏ	\u014F	alt-0335	LATIN SMALL LETTER O WITH BREVE
Ő	\u0150	alt-0336	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
ő	\u0151	alt-0337	LATIN SMALL LETTER O WITH DOUBLE ACUTE
Œ	\u0152	alt-0338	LATIN CAPITAL LIGATURE OE
œ	\u0153	alt-0339	LATIN SMALL LIGATURE OE = ethel from Old English
Ŕ	\u0154	alt-0340	LATIN CAPITAL LETTER R WITH ACUTE
ŕ	\u0155	alt-0341	LATIN SMALL LETTER R WITH ACUTE
Ŗ	\u0156	alt-0342	LATIN CAPITAL LETTER R WITH CEDILLA
ŗ	\u0157	alt-0343	LATIN SMALL LETTER R WITH CEDILLA
Ř	\u0158	alt-0344	LATIN CAPITAL LETTER R WITH CARON
ř	\u0159	alt-0345	LATIN SMALL LETTER R WITH CARON
Ś	\u015A	alt-0346	LATIN CAPITAL LETTER S WITH ACUTE
ś	\u015B	alt-0347	LATIN SMALL LETTER S WITH ACUTE
Ŝ	\u015C	alt-0348	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
ŝ	\u015D	alt-0349	LATIN SMALL LETTER S WITH CIRCUMFLEX
Ş	\u015E	alt-0350	LATIN CAPITAL LETTER S WITH CEDILLA
ş	\u015F	alt-0351	LATIN SMALL LETTER S WITH CEDILLA
Š	\u0160	alt-0352	LATIN CAPITAL LETTER S WITH CARON
š	\u0161	alt-0353	LATIN SMALL LETTER S WITH CARON
Ţ	\u0162	alt-0354	LATIN CAPITAL LETTER T WITH CEDILLA
ţ	\u0163	alt-0355	LATIN SMALL LETTER T WITH CEDILLA
Ť	\u0164	alt-0356	LATIN CAPITAL LETTER T WITH CARON
ť	\u0165	alt-0357	LATIN SMALL LETTER T WITH CARON
Ŧ	\u0166	alt-0358	LATIN CAPITAL LETTER T WITH STROKE
ŧ	\u0167	alt-0359	LATIN SMALL LETTER T WITH STROKE
Ũ	\u0168	alt-0360	LATIN CAPITAL LETTER U WITH TILDE
ũ	\u0169	alt-0361	LATIN SMALL LETTER U WITH TILDE
Ū	\u016A	alt-0362	LATIN CAPITAL LETTER U WITH MACRON
ū	\u016B	alt-0363	LATIN SMALL LETTER U WITH MACRON
Ŭ	\u016C	alt-0364	LATIN CAPITAL LETTER U WITH BREVE
ŭ	\u016D	alt-0365	LATIN SMALL LETTER U WITH BREVE
Ů	\u016E	alt-0366	LATIN CAPITAL LETTER U WITH RING ABOVE
ů	\u016F	alt-0367	LATIN SMALL LETTER U WITH RING ABOVE
Ű	\u0170	alt-0368	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
ű	\u0171	alt-0369	LATIN SMALL LETTER U WITH DOUBLE ACUTE
Ŵ	\u0174	alt-0372	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
ŵ	\u0175	alt-0373	LATIN SMALL LETTER W WITH CIRCUMFLEX
Ŷ	\u0176	alt-0374	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
ŷ	\u0177	alt-0375	LATIN SMALL LETTER Y WITH CIRCUMFLEX
Ÿ	\u0178	alt-0376	LATIN CAPITAL LETTER Y WITH DIAERESIS
Ź	\u0179	alt-0377	LATIN CAPITAL LETTER Z WITH ACUTE
ź	\u017A	alt-0378	LATIN SMALL LETTER Z WITH ACUTE
Ż	\u017B	alt-0379	LATIN CAPITAL LETTER Z WITH DOT ABOVE
ż	\u017C	alt-0380	LATIN SMALL LETTER Z WITH DOT ABOVE
Ž	\u017D	alt-0381	LATIN CAPITAL LETTER Z WITH CARON
ž	\u017E	alt-0382	LATIN SMALL LETTER Z WITH CARON
ſ	\u017F	alt-0383	LATIN SMALL LETTER LONG S
Non-European and historic Latin

Ɔ	\u0186	alt-0390	LATIN CAPITAL LETTER OPEN O
Ǝ	\u018E	alt-0398	LATIN CAPITAL LETTER REVERSED E = turned e
Ɯ	\u019C	alt-0412	LATIN CAPITAL LETTER TURNED M
IPA extensions IPA includes basic Latin letters and a number of Latin or Greek letters from other blocks.

ɐ	\u0250	alt-0592	LATIN SMALL LETTER TURNED A
ɑ	\u0251	alt-0593	LATIN SMALL LETTER ALPHA = latin small letter script a
ɒ	\u0252	alt-0594	LATIN SMALL LETTER TURNED ALPHA
ɔ	\u0254	alt-0596	LATIN SMALL LETTER OPEN O
ɘ	\u0258	alt-0600	LATIN SMALL LETTER REVERSED E
ə	\u0259	alt-0601	LATIN SMALL LETTER SCHWA
ɛ	\u025B	alt-0603	LATIN SMALL LETTER OPEN E = epsilon
ɜ	\u025C	alt-0604	LATIN SMALL LETTER REVERSED OPEN E
ɞ	\u025E	alt-0606	LATIN SMALL LETTER CLOSED REVERSED OPEN E = closed reversed epsilon
ɟ	\u025F	alt-0607	LATIN SMALL LETTER DOTLESS J WITH STROKE
ɡ	\u0261	alt-0609	LATIN SMALL LETTER SCRIPT G
ɢ	\u0262	alt-0610	LATIN LETTER SMALL CAPITAL G
ɣ	\u0263	alt-0611	LATIN SMALL LETTER GAMMA
ɤ	\u0264	alt-0612	LATIN SMALL LETTER RAMS HORN = latin small letter baby gamma
ɥ	\u0265	alt-0613	LATIN SMALL LETTER TURNED H
ɨ	\u0268	alt-0616	LATIN SMALL LETTER I WITH STROKE = barred i, i bar
IPA extensions IPA includes basic Latin letters and a number of Latin or Greek letters from other blocks. * ISO 6438 gives lowercase of 0197 as 026A, not 0268 * obsoleted by IPA in 1989

ɪ	\u026A	alt-0618	LATIN LETTER SMALL CAPITAL I
ɬ	\u026C	alt-0620	LATIN SMALL LETTER L WITH BELT
ɮ	\u026E	alt-0622	LATIN SMALL LETTER LEZH
ɯ	\u026F	alt-0623	LATIN SMALL LETTER TURNED M
ɰ	\u0270	alt-0624	LATIN SMALL LETTER TURNED M WITH LONG LEG
ɴ	\u0274	alt-0628	LATIN LETTER SMALL CAPITAL N
ɵ	\u0275	alt-0629	LATIN SMALL LETTER BARRED O = o bar
ɶ	\u0276	alt-0630	LATIN LETTER SMALL CAPITAL OE
ɷ	\u0277	alt-0631	LATIN SMALL LETTER CLOSED OMEGA
IPA extensions IPA includes basic Latin letters and a number of Latin or Greek letters from other blocks. * ISO 6438 gives lowercase of 0197 as 026A, not 0268 * obsoleted by IPA in 1989 * obsoleted by IPA in 1989

ɸ	\u0278	alt-0632	LATIN SMALL LETTER PHI
ɹ	\u0279	alt-0633	LATIN SMALL LETTER TURNED R
IPA extensions IPA includes basic Latin letters and a number of Latin or Greek letters from other blocks. * ISO 6438 gives lowercase of 0197 as 026A, not 0268 * obsoleted by IPA in 1989 * obsoleted by IPA in 1989 * obsoleted by IPA in 1989

ʁ	\u0281	alt-0641	LATIN LETTER SMALL CAPITAL INVERTED R
ʇ	\u0287	alt-0647	LATIN SMALL LETTER TURNED T
ʌ	\u028C	alt-0652	LATIN SMALL LETTER TURNED V = caret, wedge
ʍ	\u028D	alt-0653	LATIN SMALL LETTER TURNED W
ʎ	\u028E	alt-0654	LATIN SMALL LETTER TURNED Y
ʞ	\u029E	alt-0670	LATIN SMALL LETTER TURNED K
Letters

Α	\u0391	alt-0913	GREEK CAPITAL LETTER ALPHA
Β	\u0392	alt-0914	GREEK CAPITAL LETTER BETA
Γ	\u0393	alt-0915	GREEK CAPITAL LETTER GAMMA = gamma function
Δ	\u0394	alt-0916	GREEK CAPITAL LETTER DELTA
Ε	\u0395	alt-0917	GREEK CAPITAL LETTER EPSILON
Ζ	\u0396	alt-0918	GREEK CAPITAL LETTER ZETA
Η	\u0397	alt-0919	GREEK CAPITAL LETTER ETA
Θ	\u0398	alt-0920	GREEK CAPITAL LETTER THETA
Ι	\u0399	alt-0921	GREEK CAPITAL LETTER IOTA = iota adscript
Κ	\u039A	alt-0922	GREEK CAPITAL LETTER KAPPA
Λ	\u039B	alt-0923	GREEK CAPITAL LETTER LAMDA
Μ	\u039C	alt-0924	GREEK CAPITAL LETTER MU
Ν	\u039D	alt-0925	GREEK CAPITAL LETTER NU
Ξ	\u039E	alt-0926	GREEK CAPITAL LETTER XI
Ο	\u039F	alt-0927	GREEK CAPITAL LETTER OMICRON
Π	\u03A0	alt-0928	GREEK CAPITAL LETTER PI
Ρ	\u03A1	alt-0929	GREEK CAPITAL LETTER RHO
Σ	\u03A3	alt-0931	GREEK CAPITAL LETTER SIGMA
Τ	\u03A4	alt-0932	GREEK CAPITAL LETTER TAU
Υ	\u03A5	alt-0933	GREEK CAPITAL LETTER UPSILON
Φ	\u03A6	alt-0934	GREEK CAPITAL LETTER PHI
Χ	\u03A7	alt-0935	GREEK CAPITAL LETTER CHI
Ψ	\u03A8	alt-0936	GREEK CAPITAL LETTER PSI
Ω	\u03A9	alt-0937	GREEK CAPITAL LETTER OMEGA
α	\u03B1	alt-0945	GREEK SMALL LETTER ALPHA
β	\u03B2	alt-0946	GREEK SMALL LETTER BETA
γ	\u03B3	alt-0947	GREEK SMALL LETTER GAMMA
δ	\u03B4	alt-0948	GREEK SMALL LETTER DELTA
ε	\u03B5	alt-0949	GREEK SMALL LETTER EPSILON
ζ	\u03B6	alt-0950	GREEK SMALL LETTER ZETA
η	\u03B7	alt-0951	GREEK SMALL LETTER ETA
θ	\u03B8	alt-0952	GREEK SMALL LETTER THETA
ι	\u03B9	alt-0953	GREEK SMALL LETTER IOTA
κ	\u03BA	alt-0954	GREEK SMALL LETTER KAPPA
λ	\u03BB	alt-0955	GREEK SMALL LETTER LAMDA = lambda
μ	\u03BC	alt-0956	GREEK SMALL LETTER MU
ν	\u03BD	alt-0957	GREEK SMALL LETTER NU
ξ	\u03BE	alt-0958	GREEK SMALL LETTER XI
ο	\u03BF	alt-0959	GREEK SMALL LETTER OMICRON
π	\u03C0	alt-0960	GREEK SMALL LETTER PI
ρ	\u03C1	alt-0961	GREEK SMALL LETTER RHO
ς	\u03C2	alt-0962	GREEK SMALL LETTER FINAL SIGMA = stigma the Modern Greek name for this letterform
σ	\u03C3	alt-0963	GREEK SMALL LETTER SIGMA
τ	\u03C4	alt-0964	GREEK SMALL LETTER TAU
υ	\u03C5	alt-0965	GREEK SMALL LETTER UPSILON
φ	\u03C6	alt-0966	GREEK SMALL LETTER PHI
χ	\u03C7	alt-0967	GREEK SMALL LETTER CHI
ψ	\u03C8	alt-0968	GREEK SMALL LETTER PSI
ω	\u03C9	alt-0969	GREEK SMALL LETTER OMEGA
Basic Russian alphabet

А	\u0410	alt-01040	CYRILLIC CAPITAL LETTER A
Б	\u0411	alt-01041	CYRILLIC CAPITAL LETTER BE
В	\u0412	alt-01042	CYRILLIC CAPITAL LETTER VE
Г	\u0413	alt-01043	CYRILLIC CAPITAL LETTER GHE
Д	\u0414	alt-01044	CYRILLIC CAPITAL LETTER DE
Е	\u0415	alt-01045	CYRILLIC CAPITAL LETTER IE
Ж	\u0416	alt-01046	CYRILLIC CAPITAL LETTER ZHE
З	\u0417	alt-01047	CYRILLIC CAPITAL LETTER ZE
И	\u0418	alt-01048	CYRILLIC CAPITAL LETTER I
Й	\u0419	alt-01049	CYRILLIC CAPITAL LETTER SHORT I
К	\u041A	alt-01050	CYRILLIC CAPITAL LETTER KA
Л	\u041B	alt-01051	CYRILLIC CAPITAL LETTER EL
М	\u041C	alt-01052	CYRILLIC CAPITAL LETTER EM
Н	\u041D	alt-01053	CYRILLIC CAPITAL LETTER EN
О	\u041E	alt-01054	CYRILLIC CAPITAL LETTER O
П	\u041F	alt-01055	CYRILLIC CAPITAL LETTER PE
Р	\u0420	alt-01056	CYRILLIC CAPITAL LETTER ER
С	\u0421	alt-01057	CYRILLIC CAPITAL LETTER ES
Т	\u0422	alt-01058	CYRILLIC CAPITAL LETTER TE
У	\u0423	alt-01059	CYRILLIC CAPITAL LETTER U
Ф	\u0424	alt-01060	CYRILLIC CAPITAL LETTER EF
Х	\u0425	alt-01061	CYRILLIC CAPITAL LETTER HA
Ц	\u0426	alt-01062	CYRILLIC CAPITAL LETTER TSE
Ч	\u0427	alt-01063	CYRILLIC CAPITAL LETTER CHE
Ш	\u0428	alt-01064	CYRILLIC CAPITAL LETTER SHA
Щ	\u0429	alt-01065	CYRILLIC CAPITAL LETTER SHCHA
Ъ	\u042A	alt-01066	CYRILLIC CAPITAL LETTER HARD SIGN
Ы	\u042B	alt-01067	CYRILLIC CAPITAL LETTER YERU
Ь	\u042C	alt-01068	CYRILLIC CAPITAL LETTER SOFT SIGN
Э	\u042D	alt-01069	CYRILLIC CAPITAL LETTER E
Ю	\u042E	alt-01070	CYRILLIC CAPITAL LETTER YU
Я	\u042F	alt-01071	CYRILLIC CAPITAL LETTER YA
а	\u0430	alt-01072	CYRILLIC SMALL LETTER A
б	\u0431	alt-01073	CYRILLIC SMALL LETTER BE
в	\u0432	alt-01074	CYRILLIC SMALL LETTER VE
г	\u0433	alt-01075	CYRILLIC SMALL LETTER GHE
д	\u0434	alt-01076	CYRILLIC SMALL LETTER DE
е	\u0435	alt-01077	CYRILLIC SMALL LETTER IE
ж	\u0436	alt-01078	CYRILLIC SMALL LETTER ZHE
з	\u0437	alt-01079	CYRILLIC SMALL LETTER ZE
и	\u0438	alt-01080	CYRILLIC SMALL LETTER I
й	\u0439	alt-01081	CYRILLIC SMALL LETTER SHORT I
к	\u043A	alt-01082	CYRILLIC SMALL LETTER KA
л	\u043B	alt-01083	CYRILLIC SMALL LETTER EL
м	\u043C	alt-01084	CYRILLIC SMALL LETTER EM
н	\u043D	alt-01085	CYRILLIC SMALL LETTER EN
о	\u043E	alt-01086	CYRILLIC SMALL LETTER O
п	\u043F	alt-01087	CYRILLIC SMALL LETTER PE
р	\u0440	alt-01088	CYRILLIC SMALL LETTER ER
с	\u0441	alt-01089	CYRILLIC SMALL LETTER ES
т	\u0442	alt-01090	CYRILLIC SMALL LETTER TE
у	\u0443	alt-01091	CYRILLIC SMALL LETTER U
ф	\u0444	alt-01092	CYRILLIC SMALL LETTER EF
х	\u0445	alt-01093	CYRILLIC SMALL LETTER HA
ц	\u0446	alt-01094	CYRILLIC SMALL LETTER TSE
ч	\u0447	alt-01095	CYRILLIC SMALL LETTER CHE
ш	\u0448	alt-01096	CYRILLIC SMALL LETTER SHA
щ	\u0449	alt-01097	CYRILLIC SMALL LETTER SHCHA
